Weekly New York Harbor Ultra-Low Sulfur No 2 Diesel Spot Price
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EER_EPD2DXL0_PF4_Y35NY_DPG&f=W
14:28:47 GMT-0500 (Eastern Standard Time)
Source: U.S. Energy Information Administration
Week of,Weekly New York Harbor Ultra-Low Sulfur No 2 Diesel Spot Price Dollars per Gallon
11/26/2021,2.363
11/19/2021,2.378
11/12/2021,2.461
11/5/2021,2.464
10/29/2021,2.529
10/22/2021,2.568
10/15/2021,2.555
10/8/2021,2.467
10/1/2021,2.323
09/24/2021,2.217
09/17/2021,2.19
09/10/2021,2.127
09/3/2021,2.143
08/27/2021,2.072
08/20/2021,1.99
08/13/2021,2.079
08/6/2021,2.102
07/30/2021,2.167
07/23/2021,2.069
07/16/2021,2.134
07/9/2021,2.122
07/2/2021,2.14
06/25/2021,2.149
06/18/2021,2.096
06/11/2021,2.129
06/4/2021,2.103
05/28/2021,2.044
05/21/2021,2.02
05/14/2021,2.041
05/7/2021,1.993
04/30/2021,1.92
04/23/2021,1.872
04/16/2021,1.861
04/9/2021,1.8
04/2/2021,1.798
03/26/2021,1.785
03/19/2021,1.873
03/12/2021,1.927
03/5/2021,1.865
02/26/2021,1.885
02/19/2021,1.827
02/12/2021,1.757
02/5/2021,1.69
01/29/2021,1.597
01/22/2021,1.587
01/15/2021,1.592
01/8/2021,1.525
01/1/2021,1.478
12/25/2020,1.479
12/18/2020,1.479
12/11/2020,1.413
12/4/2020,1.368
11/27/2020,1.359
11/20/2020,1.258
11/13/2020,1.226
11/6/2020,1.144
10/30/2020,1.117
10/23/2020,1.158
10/16/2020,1.183
10/9/2020,1.176
10/2/2020,1.124
09/25/2020,1.117
09/18/2020,1.125
09/11/2020,1.077
09/4/2020,1.166
08/28/2020,1.219
08/21/2020,1.223
08/14/2020,1.229
08/7/2020,1.242
07/31/2020,1.242
07/24/2020,1.264
07/17/2020,1.226
07/10/2020,1.239
07/3/2020,1.194
06/26/2020,1.178
06/19/2020,1.183
06/12/2020,1.089
06/5/2020,1.026
05/29/2020,0.928
05/22/2020,0.951
05/15/2020,0.85
05/8/2020,0.847
05/1/2020,0.692
04/24/2020,0.764
04/17/2020,0.963
04/10/2020,1.026
04/3/2020,1.025
03/27/2020,1.075
03/20/2020,1.031
03/13/2020,1.205
03/6/2020,1.512
02/28/2020,1.531
02/21/2020,1.691
02/14/2020,1.66
02/7/2020,1.622
01/31/2020,1.662
01/24/2020,1.784
01/17/2020,1.881
01/10/2020,1.977
01/3/2020,2.037
12/27/2019,2.037
12/20/2019,2.024
12/13/2019,1.957
